title,sinopse,genres,title_url
The Playbook,"
One family learns that forgiveness is paramount.","
Drama, Sport            ",https://www.imdb.com/title/tt2187139/
Lost in Wrestling,"
Female Mongolian wrestler, Na Ren, was invited to participate in a women's wrestling show in Japan. The show host, Boss, instantaneously changed the competition to mud wrestling and Na Ren was forced to compete.","
Action, Drama, Romance            ",https://www.imdb.com/title/tt4838472/
Blue Grass of Kentucky,"
While Kentucky is known as 'the blue grass state', the use of the term in this title is the name of the horse. The story revolves around a colt born in Kentucky and named ""Blue Grass"". and ...                <a href=""/title/tt0042264/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt0042264/
Clemente,"
Young Puerto Rican baseball player, Roberto Clemente, becomes one of the biggest names in the professional sport when he's drafted to play for the Pittsburgh Pirates in 1955.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt4742736/
Aakhri Muqabala,"
A simple tale of kung fu revenge.","
Action, Adventure, Musical            ",https://www.imdb.com/title/tt1132132/
A Fly in the Champagne,"
After a decade of bitter rival status, Kelly Slater and Andy Irons come together to surf off their differences ! The seemingly mortal enemies agreed to sequester themselves on a tiny island to bury the hatchet once and for all.","
Sport            ",https://www.imdb.com/title/tt2297128/
Tracing Skylines,"
Every skier knows what it's like to call a few friends, pack up, and head out for a trip. Rather than spend another winter chasing storms, five of the top pros and their closest pals embark...                <a href=""/title/tt3897880/plotsummary"">See full summary</a> »
","
Sport            ",https://www.imdb.com/title/tt3897880/
The Boy from Indiana,"
Farmboy raises his colt to be a champion race horse.","
Drama, Romance, Sport            ",https://www.imdb.com/title/tt0042278/
SWA-TECH,"
At Southwest Atlanta Tech (SWA-TECH) basketball is everything. But what happens when the athletes realize their worth- that without them, there is no game.","
Sport            ",https://www.imdb.com/title/tt5618938/
White Panther,"
In the 1990's a million former USSR Jews arrived in Israel. The immigrants were despised by the local population who feared their 'invasion'. While many embraced the Israeli lifestyle, ...                <a href=""/title/tt2614342/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt2614342/
Olympique Marseille vs Paris Saint-Germain,"
        <a href=""/updates?update=tt15655086%3Aoutlines.add.1"">Add a Plot</a>
","
Sport            ",https://www.imdb.com/title/tt15655086/
La sombra del judoka contra el doctor Wong,"
The Dr. Wong gives the orders his thugs to eliminate Mr Jung. The Shadow Judoka of Bruce Lyn turns out to be projected against a wall and swears revenge.","
Action, Sport            ",https://www.imdb.com/title/tt0090046/
The Fighting Adventurer,"
Bill Pendleton is a happy-go-lucky college student adept at both flying and football, accepts a wager from his fraternity pals that he will propose to any girl in the college they choose. ...                <a href=""/title/tt0014891/plotsummary"">See full summary</a> »
","
Action, Drama, Romance            ",https://www.imdb.com/title/tt0014891/
Lucky Star,"
Kathi loves her horse more than anything in the world.","
Drama, Family, Romance            ",https://www.imdb.com/title/tt0079494/
Off Rip,"
A young skim-boarder supporting his single mother fights against all odds to become the man his family has never known but has always needed, pushing through trials within friendships, the drug scene, relationships, and competition.","
Drama, Sport            ",https://www.imdb.com/title/tt12643976/
Amor xtremo,"
Two brothers from Mexico City travel to to Las Vegas to catch the U.S. Motocross Open.","
Action, Adventure, Drama            ",https://www.imdb.com/title/tt0457418/
Climbing,"
Professional climber CHOI Se-hyeon, who got recovered from a car accident recently, discovers that she is pregnant just before the Climbing World Championships. As her long-time aspirations...                <a href=""/title/tt14893186/plotsummary"">See full summary</a> »
","
Animation, Drama, Sport            ",https://www.imdb.com/title/tt14893186/
Chasing Winter,"
        <a href=""/updates?update=tt16376340%3Aoutlines.add.1"">Add a Plot</a>
","
Sport            ",https://www.imdb.com/title/tt16376340/
Mata Dewa,"
Dewa (Kenny Austin) wants to bring his school, Wijaya High School, becomes the first DBL champion. Dewa and his team are assisted by coach Miko (Nino Fernandez).","
Drama, Sport            ",https://www.imdb.com/title/tt10613838/
Benimle Oynar misin?,"
        <a href=""/updates?update=tt3132928%3Aoutlines.add.1"">Add a Plot</a>
","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt3132928/
Gabru Gang,"
It is the world's first film based on kite-flying, and this film attempt to give good cinema with lots of emotions and a message. The film focuses on sport of kite flying in India.","
Drama, Family, Sport            ",https://www.imdb.com/title/tt12797274/
All-Star,"
In small town Oklahoma, a courageous female athlete dares to pursue her dream of making her High School's all-male Championship Football team. Fighting to overcome hateful teammates and her...                ","
Drama, Sport            ",https://www.imdb.com/title/tt8425744/
Gyakkyo nine," »
","
Action, Comedy, Sport            ",https://www.imdb.com/title/tt0498502/
Stab in the Dark: All Stars,"
Adversity. The only word that is perhaps as important to Toshi is ""baseball,"" seeing as how he's the captain of All-Out High School's team. But because the team's record is all losses and ...                <a href=""/title/tt0498502/plotsummary"">See full summary</a> »
","
Sport            ",https://www.imdb.com/title/tt11384064/
Memories of Michael,"
Is it possible to call a surfboard the best in the world? Is it possible to call a shaper the best in the world? Each year we invite 12 of the world's best shapers to shape a clear and ...                <a href=""/title/tt11384064/plotsummary"">See full summary</a> »
","
Action, Drama, Romance            ",https://www.imdb.com/title/tt4163732/
