title,year,certificate,runtime,genre,synopsis,link
King Richard: Criando Campeãs,2021,12,144 min," Biography, Drama, Sport ", A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,https://www.imdb.com/title/tt9620288/
Jhund,2022,Isn't Available,176 min," Biography, Drama, Sport "," Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team.",https://www.imdb.com/title/tt8983228/
Ford vs Ferrari,2019,12,152 min," Action, Biography, Drama ", American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,https://www.imdb.com/title/tt1950186/
Time do Coração,2022,10,95 min," Comedy, Sport "," The story about New Orleans Saints head coach Sean Payton coaching his son's 6th grade football team, when Payton was suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal.",https://www.imdb.com/title/tt14592064/
Virando o Jogo,2000,12,118 min," Comedy, Sport "," During a pro football strike, the owners hire substitute players.",https://www.imdb.com/title/tt0191397/
American Underdog,2021,PG,112 min," Biography, Drama, Sport "," The story of NFL MVP and Hall of Fame quarterback Kurt Warner, who went from stocking shelves at a supermarket to becoming an American Football star.",https://www.imdb.com/title/tt11729298/
Coach Carter: Treino para a Vida,2005,14,136 min," Biography, Drama, Sport ", Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,https://www.imdb.com/title/tt0393162/
Karatê Kid: A Hora da Verdade,1984,Livre,126 min," Action, Drama, Family ", A martial arts master agrees to teach karate to a bullied teenager.,https://www.imdb.com/title/tt0087538/
Carros,2006,Livre,117 min," Animation, Adventure, Comedy "," A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",https://www.imdb.com/title/tt0317219/
The Phantom of the Open,2021,PG-13,106 min," Comedy, Drama, Sport "," Maurice Flitcroft, a dreamer and unrelenting optimist, managed to gain entry to The British Open Golf Championship Qualifying in 1976 and subsequently shot the worst round in Open history, becoming a folk hero in the process.",https://www.imdb.com/title/tt12572040/
Guerreiro,2011,12,140 min," Action, Drama, Sport "," The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",https://www.imdb.com/title/tt1291584/
Se Brincar o Bicho Morde,1993,Livre,101 min," Comedy, Drama, Family "," In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",https://www.imdb.com/title/tt0108037/
Um Sonho Possível,2009,10,129 min," Biography, Drama, Sport "," The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",https://www.imdb.com/title/tt0878804/
Menina de Ouro,2004,12,132 min," Drama, Sport ", A determined woman works with a hardened boxing trainer to become a professional.,https://www.imdb.com/title/tt0405159/
Os Aloprados,2008,R,91 min," Comedy, Sport "," Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true.",https://www.imdb.com/title/tt0839980/
Space Jam 2: Um Novo Legado,2021,Livre,115 min," Animation, Adventure, Comedy "," A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game.",https://www.imdb.com/title/tt3554046/
Jerry Maguire - A Grande Virada,1996,14,139 min," Comedy, Drama, Romance "," When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",https://www.imdb.com/title/tt0116695/
Uma Equipe Muito Especial,1992,PG,128 min," Comedy, Drama, Sport ", Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,https://www.imdb.com/title/tt0104694/
Clube dos Pilantras,1980,16,98 min," Comedy, Sport ", An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,https://www.imdb.com/title/tt0080487/
O Homem Que Mudou o Jogo,2011,10,133 min," Biography, Drama, Sport ", Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,https://www.imdb.com/title/tt1210166/
Com a Bola Toda,2004,10,92 min," Comedy, Sport ", A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,https://www.imdb.com/title/tt0364725/
"Eu, Tonya",2017,14,119 min," Biography, Comedy, Drama "," Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",https://www.imdb.com/title/tt5580036/
Rocky: Um Lutador,1976,12,120 min," Drama, Sport ", A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,https://www.imdb.com/title/tt0075148/
Golpe Baixo,2005,14,113 min," Comedy, Crime, Sport ", Prison inmates form a football team to challenge the prison guards.,https://www.imdb.com/title/tt0398165/
Nós Somos os Campeões,1992,Livre,104 min," Comedy, Drama, Family ", A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,https://www.imdb.com/title/tt0104868/
Rush: No Limite da Emoção,I) (2013,14,123 min," Action, Biography, Drama ", The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,https://www.imdb.com/title/tt1979320/
Campo dos Sonhos,1989,Livre,107 min," Drama, Family, Fantasy "," Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",https://www.imdb.com/title/tt0097351/
Duelo de Titãs,2000,Livre,113 min," Biography, Drama, Sport ", The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,https://www.imdb.com/title/tt0210945/
Grand Prix,1966,Isn't Available,176 min," Drama, Sport "," American Grand Prix driver Pete Aron is fired by his Jordan-BRM racing team after a crash at Monaco that injures his British teammate, Scott Stoddard.",https://www.imdb.com/title/tt0060472/
A Corrida do Século,1965,Livre,160 min," Action, Adventure, Comedy "," In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.",https://www.imdb.com/title/tt0059243/
Um Maluco no Golfe,1996,14,92 min," Comedy, Sport ", A rejected hockey player puts his skills to the golf course to save his grandmother's house.,https://www.imdb.com/title/tt0116483/
O Último Dragão,1985,Isn't Available,109 min," Action, Comedy, Drama "," In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow.",https://www.imdb.com/title/tt0089461/
O Vencedor,I) (2010,14,116 min," Action, Biography, Drama "," Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",https://www.imdb.com/title/tt0964517/
Lutando Pela Família,2019,14,108 min," Biography, Comedy, Drama ", A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,https://www.imdb.com/title/tt6513120/
Touro Indomável,1980,16,129 min," Biography, Drama, Sport "," The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",https://www.imdb.com/title/tt0081398/
Diário de um Adolescente,1995,16,102 min," Biography, Crime, Drama ", A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,https://www.imdb.com/title/tt0112461/
A Liga de Monstros,2021,PG,95 min," Animation, Comedy, Family "," In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion.",https://www.imdb.com/title/tt8337158/
Invencível,I) (2014,14,137 min," Action, Biography, Drama "," After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",https://www.imdb.com/title/tt1809398/
Rocky IV,1985,14,91 min," Drama, Sport "," Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",https://www.imdb.com/title/tt0089927/
Gigantes de Aço,2011,10,127 min," Action, Drama, Sci-Fi "," In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.",https://www.imdb.com/title/tt0433035/
A Grande Jogada,2017,14,140 min," Biography, Crime, Drama "," The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",https://www.imdb.com/title/tt4209788/
As Ondas,I) (2019,16,135 min," Drama, Romance, Sport "," Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",https://www.imdb.com/title/tt8652728/
Sonhadora,2005,Livre,106 min," Drama, Family, Sport "," Cale Crane catalyzes the rescue and rehabilitation of Sonador, a race horse with a broken leg.",https://www.imdb.com/title/tt0418647/
McFarland dos EUA,2015,PG,129 min," Biography, Drama, Sport "," Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region.",https://www.imdb.com/title/tt2097298/
83,2021,Isn't Available,162 min," Biography, Drama, History "," On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",https://www.imdb.com/title/tt7518786/
Ela é o Cara,2006,Livre,105 min," Comedy, Romance, Sport "," When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles.",https://www.imdb.com/title/tt0454945/
O Lutador,2008,14,109 min," Drama, Sport "," A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",https://www.imdb.com/title/tt1125849/
United,I) (2011,PG-13,94 min," Drama, History, Sport "," Based on the true story of Manchester United's legendary Busby Babes, the youngest side ever to win the Football League and the 1958 Munich Air Crash that claimed eight of their number.",https://www.imdb.com/title/tt1777034/
Teenagers: As Apimentadas,2000,12,98 min," Comedy, Romance, Sport ", A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,https://www.imdb.com/title/tt0204946/
O Rei da Água,1998,12,90 min," Comedy, Sport ", A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,https://www.imdb.com/title/tt0120484/
Space Jam: O Jogo do Século,1996,Livre,88 min," Animation, Adventure, Comedy "," In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",https://www.imdb.com/title/tt0117705/
Karatê Kid 3: O Desafio Final,1989,Livre,112 min," Action, Drama, Family "," Ostracised villain John Kreese attempts to gain revenge on Daniel and Miyagi, with the help of a Vietnam War comrade, the wealthy owner of a toxic waste disposal business.",https://www.imdb.com/title/tt0097647/
Dangal,2016,10,161 min," Action, Biography, Drama ", Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,https://www.imdb.com/title/tt5074352/
Creed III,2022,Isn't Available,Isn't Available," Drama, Sport ", Third installment of the 'Creed' franchise.,https://www.imdb.com/title/tt11145118/
"Ricky Bobby, a Toda Velocidade",2006,14,108 min," Comedy, Sport "," Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",https://www.imdb.com/title/tt0415306/
17 Outra Vez,2009,10,102 min," Comedy, Drama, Fantasy ", Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,https://www.imdb.com/title/tt0974661/
Kingpin: Estes Loucos Reis do Boliche,1996,PG-13,114 min," Comedy, Sport ", A star bowler whose career was prematurely cut off hopes to ride a new prodigy to success and riches.,https://www.imdb.com/title/tt0116778/
Carros 3,2017,Livre,102 min," Animation, Adventure, Comedy ", Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,https://www.imdb.com/title/tt3606752/
Escorregando para a Glória,2007,14,93 min," Comedy, Sport "," In 2002, two rival Olympic ice skaters were stripped of their gold medals and permanently banned from men's single competition. Presently, however, they've found a loophole that will allow them to qualify as a pairs team.",https://www.imdb.com/title/tt0445934/
Carros 2,2011,Livre,106 min," Animation, Adventure, Comedy ", Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,https://www.imdb.com/title/tt1216475/
Seabiscuit: Alma de Herói,2003,12,140 min," Drama, History, Sport ", True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,https://www.imdb.com/title/tt0329575/
Foxcatcher: Uma História que Chocou o Mundo,2014,14,134 min," Biography, Drama, History "," U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join Team Foxcatcher, led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all.",https://www.imdb.com/title/tt1100089/
Karatê Kid,2010,10,140 min," Action, Drama, Family "," Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",https://www.imdb.com/title/tt1155076/
O Caminho de Volta,2020,14,108 min," Drama, Sport "," Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",https://www.imdb.com/title/tt8544498/
Creed: Nascido para Lutar,II) (2015,12,133 min," Action, Drama, Sport "," The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",https://www.imdb.com/title/tt3076658/
Um Casal Quase Perfeito,1992,10,101 min," Comedy, Drama, Romance ", A temperamental figure skater and a former hockey player try to win Olympic gold as a figure skating pairs team.,https://www.imdb.com/title/tt0104040/
O Cavalo dos Meus Sonhos,2020,PG,113 min," Biography, Comedy, Drama "," Dream Alliance is an unlikely race horse bred by small-town Welsh bartender Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racing elites.",https://www.imdb.com/title/tt9883996/
De Volta às Aulas,1986,12,96 min," Comedy, Romance, Sport "," To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.",https://www.imdb.com/title/tt0090685/
Nocaute,2015,14,124 min," Action, Crime, Drama "," After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.",https://www.imdb.com/title/tt1798684/
Homens Brancos Não Sabem Enterrar,1992,12,115 min," Comedy, Drama, Sport ", Black and white basketball hustlers join forces to double their chances of winning money on the street courts and in a basketball tournament.,https://www.imdb.com/title/tt0105812/
Ferida,2020,16,129 min," Drama, Sport ", A disgraced MMA fighter finds redemption in the cage and the courage to face her demons when the son she had given up as an infant unexpectedly reenters her life.,https://www.imdb.com/title/tt8310474/
Garra de Campeões,1989,Isn't Available,107 min," Comedy, Sport "," The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.",https://www.imdb.com/title/tt0097815/
Marcação Cerrada,1999,14,106 min," Comedy, Drama, Romance ", A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,https://www.imdb.com/title/tt0139699/
Caçadores de Emoção: Além do Limite,2015,14,114 min," Action, Adventure, Crime "," A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.",https://www.imdb.com/title/tt2058673/
Creed II,2018,12,130 min," Drama, Sport "," Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",https://www.imdb.com/title/tt6343314/
Karatê Kid 2: A Hora da Verdade Continua,1986,Livre,113 min," Action, Family, Sport "," Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own.",https://www.imdb.com/title/tt0091326/
Arremessando Alto,2022,Isn't Available,Isn't Available," Comedy, Drama, Sport ", A washed-up basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,https://www.imdb.com/title/tt8009428/
"Quem Não Corre, Voa",1981,Isn't Available,95 min," Action, Comedy, Sport "," A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks.",https://www.imdb.com/title/tt0082136/
Quebrando Regras 4,2021,R,89 min," Action, Crime, Drama ", A woman who is kidnapped and forced to compete in elite underground fights and has to battle her way out to freedom.,https://www.imdb.com/title/tt13470094/
National Champions,2021,R,116 min," Drama, Sport "," Follows star quarterback who ignites a players strike hours before the biggest game of the year in order to fight for fair compensation, equality and respect for the student-athletes.",https://www.imdb.com/title/tt14547524/
Jamaica Abaixo de Zero,1993,Livre,98 min," Adventure, Comedy, Family "," When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",https://www.imdb.com/title/tt0106611/
Hooligans,2005,18,109 min," Crime, Drama, Sport "," A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.",https://www.imdb.com/title/tt0385002/
Nacho Libre,2006,12,92 min," Comedy, Family, Sport "," Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler).",https://www.imdb.com/title/tt0457510/
A Cor do Dinheiro,1986,12,119 min," Drama, Sport "," Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.",https://www.imdb.com/title/tt0090863/
Medalha de Bronze,2015,16,100 min," Comedy, Drama, Sport ", A foul-mouthed former gymnastics bronze medalist with local celebrity status reluctantly trains a rising Olympics aspirant.,https://www.imdb.com/title/tt3859304/
Hot Rod - Loucos Sobre Rodas,2007,PG-13,88 min," Comedy, Sport ", Self-proclaimed stuntman Rod Kimble is preparing for the jump of his life - to clear fifteen buses to raise money for his abusive stepfather Frank's life-saving heart operation.,https://www.imdb.com/title/tt0787475/
Virada Radical - Desafio e Conquista,2006,Livre,103 min," Comedy, Drama, Sport "," After a run-in with the law, Haley Graham (Missy Peregrym) is forced to return to the world from which she fled some years ago. Enrolled in an elite gymnastics program run by the legendary Burt Vickerman (Jeff Bridges), Haley's rebellious attitude gives way to something that just might be called team spirit.",https://www.imdb.com/title/tt0430634/
Hardball - O Jogo da Vida,2001,12,106 min," Comedy, Drama, Sport "," An aimless young man who is scalping tickets, gambling, and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend.",https://www.imdb.com/title/tt0180734/
Carruagens de Fogo,1981,Livre,125 min," Biography, Drama, Sport "," Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.",https://www.imdb.com/title/tt0082158/
Tudo Pela Vitória,2004,12,118 min," Action, Drama, Sport "," Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",https://www.imdb.com/title/tt0390022/
Rudy,1993,PG,114 min," Biography, Drama, Sport ", Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,https://www.imdb.com/title/tt0108002/
42: A História de uma Lenda,2013,10,128 min," Biography, Drama, Sport "," In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.",https://www.imdb.com/title/tt0453562/
Vale Tudo,1977,16,123 min," Comedy, Drama, Sport ", A failing ice hockey team finds success with outrageously violent hockey goonery.,https://www.imdb.com/title/tt0076723/
Driblando o Destino,2002,Livre,112 min," Comedy, Drama, Romance "," Two ambitious girls, despite their parents' wishes, have their hearts set on careers in professional soccer.",https://www.imdb.com/title/tt0286499/
Ali,2001,12,157 min," Biography, Drama, Sport "," A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974.",https://www.imdb.com/title/tt0248667/
Quebrando Regras,2008,14,113 min," Action, Drama, Sport ", A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.,https://www.imdb.com/title/tt1023111/
O Grande Dragão Branco,1988,14,92 min," Action, Biography, Drama "," Bloodsport follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.",https://www.imdb.com/title/tt0092675/
Os Esquenta-Banco,2006,Livre,85 min," Comedy, Sport ", A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children's Little League squads.,https://www.imdb.com/title/tt0437863/
Dias de Trovão,1990,Livre,107 min," Action, Drama, Sport ", A young hot-shot stock car driver gets his chance to compete at the top level.,https://www.imdb.com/title/tt0099371/
Prece ao Nascer do Dia,2017,16,116 min," Action, Biography, Crime ", The true story of an English boxer incarcerated in one of Thailand's most notorious prisons as he fights in Muay Thai tournaments to earn his freedom.,https://www.imdb.com/title/tt4080956/
Speed Racer,2008,10,135 min," Action, Adventure, Comedy ", Young driver Speed Racer aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile.,https://www.imdb.com/title/tt0811080/
Corrida da Morte - Ano 2000,1975,Isn't Available,80 min," Action, Comedy, Sci-Fi "," In a dystopian future, a cross country automobile race requires contestants to run down innocent pedestrians to gain points that are tallied based on each kill's brutality.",https://www.imdb.com/title/tt0072856/
A Luta pela Esperança,2005,14,144 min," Biography, Drama, History "," The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",https://www.imdb.com/title/tt0352248/
Pesos Pesados,1995,PG,100 min," Comedy, Drama, Family "," Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that the facility is a woodland hellhole run by a psycho ex-fitness instructor.",https://www.imdb.com/title/tt0110006/
Sonho de Campeão,1993,PG,103 min," Comedy, Family, Fantasy "," When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs.",https://www.imdb.com/title/tt0107985/
Momentos Decisivos,1986,Isn't Available,114 min," Drama, Sport ", A coach with a checkered past and a local drunk train a small town high school basketball team to become a top contender for the championship.,https://www.imdb.com/title/tt0091217/
Rocky III: O Desafio Supremo,1982,12,99 min," Drama, Sport "," Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion.",https://www.imdb.com/title/tt0084602/
A Grande Escolha,I) (2014,10,110 min," Drama, Sport "," At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.",https://www.imdb.com/title/tt2223990/
Os Reis de Dogtown,2005,16,107 min," Biography, Drama, Sport "," The film follows the surf and skateboarding trends that originated in Venice, California during the 1970's.",https://www.imdb.com/title/tt0355702/
A Guerra dos Sexos,2017,12,121 min," Biography, Comedy, Drama ", The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,https://www.imdb.com/title/tt4622512/
12 Órfãos Poderosos,2021,PG-13,118 min," History, Sport "," Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",https://www.imdb.com/title/tt8482584/
Meu Amigo Enzo,2019,10,109 min," Comedy, Drama, Romance "," Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",https://www.imdb.com/title/tt1478839/
Pequenos Grandes Astros,2002,Livre,99 min," Comedy, Family, Fantasy ", A 13-year-old orphan becomes an NBA superstar after trying on a pair of sneakers with the faded initials M.J. inside.,https://www.imdb.com/title/tt0308506/
Desafio no Gelo,2004,Livre,135 min," Biography, Drama, History "," The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.",https://www.imdb.com/title/tt0349825/
Rocky Balboa,2006,12,102 min," Action, Drama, Sport "," Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.",https://www.imdb.com/title/tt0479143/
North Hollywood,2021,Isn't Available,93 min," Comedy, Drama, Sport ", A kid must decide between choosing the future his father wants and following his dream of becoming a pro skater.,https://www.imdb.com/title/tt11165716/
O Vencedor,1979,Isn't Available,101 min," Comedy, Drama, Sport ", A working-class Indiana teen obsessed with the Italian cycling team vies for the affections of a college girl while searching for life goals with his friends.,https://www.imdb.com/title/tt0078902/
A Mulher Invisível,2019,Isn't Available,111 min," Drama, Fantasy, Romance ", A young woman who has faded to the point of becoming invisible must find her way back with the help of the one man who can see her.,https://www.imdb.com/title/tt4622682/
O Dono do Jogo,2014,12,115 min," Biography, Drama, History "," Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire.",https://www.imdb.com/title/tt1596345/
Um Domingo Qualquer,1999,18,162 min," Drama, Sport ", A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.,https://www.imdb.com/title/tt0146838/
3 Ninjas,1992,PG,84 min," Action, Comedy, Family "," Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.",https://www.imdb.com/title/tt0103596/
Pelas Garotas e Pela Glória,2009,14,90 min," Comedy, Sport ", The two most popular guys in high school decide to ditch football camp for cheerleader camp. For the girls and for the glory.,https://www.imdb.com/title/tt1083456/
"Falcão, o Campeão dos Campeões",1987,Livre,93 min," Action, Drama, Sport ", Tough trucker Lincoln Hawk is determined to win back his son and triumph at the world arm wrestling championships.,https://www.imdb.com/title/tt0093692/
Desafio à Corrupção,1961,12,134 min," Drama, Sport ", An up-and-coming pool player plays a long-time champion in a single high-stakes match.,https://www.imdb.com/title/tt0054997/
Treinando o Papai,2007,Livre,110 min," Comedy, Family, Sport ", An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,https://www.imdb.com/title/tt0492956/
Os Anjos Entram em Campo,1994,Livre,102 min," Comedy, Family, Fantasy "," When a boy prays for a chance to have a family if the California Angels win the pennant, angels are assigned to make that possible.",https://www.imdb.com/title/tt0109127/
Rocky V,1990,14,104 min," Drama, Sport "," Reluctantly retired from fighting, Rocky takes charge of Mickey's gym and agrees to train a young protégé who's hungry for success.",https://www.imdb.com/title/tt0100507/
Invictus,2009,Livre,134 min," Biography, Drama, History "," Nelson Mandela, in his first term as President of South Africa, initiates a unique venture to unite the Apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup.",https://www.imdb.com/title/tt1057500/
O Pequeno Grande Time,1994,Livre,107 min," Comedy, Family, Sport "," Misfits form their own opposing team to an elite peewee football team, coached by the elite team coach's brother.",https://www.imdb.com/title/tt0110364/
Um Homem Entre Gigantes,2015,12,123 min," Biography, Drama, Sport "," In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.",https://www.imdb.com/title/tt3322364/
Rocky II: A Revanche,1979,12,119 min," Drama, Sport "," Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch.",https://www.imdb.com/title/tt0079817/
Em Busca da Vitória,1985,Isn't Available,107 min," Drama, Romance, Sport "," A high school wrestler in Spokane, Washington has trouble focusing on his training regimen when a beautiful young drifter takes up temporary residence at his home.",https://www.imdb.com/title/tt0090270/
Sorte no Amor,1988,16,108 min," Comedy, Romance, Sport ", A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.,https://www.imdb.com/title/tt0094812/
