title,year,certificate,runtime,genre,synopsis,link
Maurice Richard,2005,PG,124 min," Biography, Drama, Sport "," A story about Quebec's most famous hockey player, Maurice The Rocket Richard, focusing on the struggles of a French Canadian in the National Hockey League dominated by Anglophones.",https://www.imdb.com/title/tt0460505/
Ko-ri-a,2012,Isn't Available,127 min," Drama, Sport "," As One is the cinematic retelling of the first ever post-war Unified Korea sports team, hastily formed to participate in the 41st World Table Tennis Championships in 1991. Following the ... See full summary » ",https://www.imdb.com/title/tt2328503/
Vijeta,2020,Isn't Available,135 min," Drama, Sport "," When Maharashtra performs poorly at the National Games in Kerala, Soumitra, a mind coach, is appointed for the job. He uses incidents from the athletes' pasts to inspire them and make them ... See full summary » ",https://www.imdb.com/title/tt11714964/
Contra a Maré,2013,Isn't Available,101 min," Adventure, Drama, Sport ", It tells the story of Yann Kermadec whose dreams suddenly come true when he has to replace the DCNS star skipper at the last minute before the start of the Vendée Globe (a round-the-world ... See full summary » ,https://www.imdb.com/title/tt2165236/
Takim: Mahalle Askina!,2015,Isn't Available,110 min," Comedy, Drama, Romance ", A misfit group of street soccer players bond and create a team in hopes of winning a tournament in order to raise enough money to save their neighborhood from the hands of Turkish construction giants.,https://www.imdb.com/title/tt5074648/
Fist Fighter,1988,Isn't Available,97 min," Action, Drama, Sport ", An ex-boxer comes back to a town called Rosario in South America taking revenge for the death of a friend.,https://www.imdb.com/title/tt0094599/
Anabolic Life,2017,Isn't Available,89 min," Sport, Thriller "," A young man obsessed with body image is thrust into a world of steroids, crime, and deception.",https://www.imdb.com/title/tt3259276/
De hel van '63,2009,Isn't Available,108 min," Drama, Sport "," When conditions are right, an infamous ice-skating race is held in the north of the Netherlands. The 200-km race must be completed by midnight and everyone who finishes receives a medal. ... See full summary » ",https://www.imdb.com/title/tt1156132/
Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,2016,Isn't Available,90 min," Animation, Sport ", First of three compilation films of the anime series 'Kuroko no Basket'.,https://www.imdb.com/title/tt6597832/
Kickoff,2011,Isn't Available,99 min," Comedy, Drama, Sport "," In 5-man-a-side soccer, a newly formed gay team goes up against an established team with a deserved reputation for violence and a skittish first-time official, with more action off-field than on.",https://www.imdb.com/title/tt1450326/
The Kick,2011,PG-13,94 min," Action, Sport "," After the son foils an attempt to steal a priceless Thai artifact, the family becomes national heroes and the target of revenge by the criminal gang whose robbery they stopped.",https://www.imdb.com/title/tt2020110/
Spring Fever,1982,Isn't Available,100 min," Comedy, Drama, Sport ", Tough girl from Vegas (Carling Bassett) travels to Florida with her promiscuous mother (Susan Anton) to compete in the Junior Nationals Women's Tennis championship.,https://www.imdb.com/title/tt0084718/
Billy the Kid and the Green Baize Vampire,1985,Isn't Available,93 min," Comedy, Horror, Musical "," Cocky, flatulent, cockney snooker player Billy Kid accepts the challenge of a grudge match from Maxwell Randall ( the Green Baize Vampire ) , six times world champion. The loser will never ... See full summary » ",https://www.imdb.com/title/tt0088807/
Kickboxing Academy,1997,PG-13,84 min," Action, Comedy, Sport "," Watch your nose in the hallways, these guys can really kick. In this fight flick, the students of a kickboxing academy take on students from a rival school.",https://www.imdb.com/title/tt0119456/
Chasing 3000,2010,Isn't Available,115 min," Family, Sport "," Two brothers drive across country to see their hero, Roberto Clemente, get his 3000th hit.",https://www.imdb.com/title/tt0483586/
Beyond the Mat,2013,Isn't Available,Isn't Available," Drama, Sport "," A tale about two best friends, an uncensored look into the perilous world of high school wrestling, and the story of a teen who overcomes self doubt to find his true place.",https://www.imdb.com/title/tt1207922/
Thammudu,1999,Isn't Available,160 min," Action, Drama, Sport "," An aimless student is banished from his home by his father. When his brother, a boxing champion, gets injured, the student must step up and take his brother's place.",https://www.imdb.com/title/tt0240084/
Die Wilden Kerle 5,2008,Isn't Available,107 min," Action, Adventure, Family "," A team of heroes faces their most dangerous opponents in the Shadow Realm, soccer playing vampires.",https://www.imdb.com/title/tt1058579/
The Wrestler,1974,Isn't Available,95 min," Action, Crime, Drama ", Frank Bass takes a stand and defends what he thinks is right. Gamblers and money-grubbing conspire to corrupt the industry. Frank's efforts climax as he promotes an over-the-hill champion in the final matches of his career.,https://www.imdb.com/title/tt0070930/
Ping Pong Playa,2007,PG-13,96 min," Comedy, Sport "," A kid dreams of playing professional basketball in order to escape his dead-end job, living in the suburbs, his bossy older brother and running his Mom's ping pong classes.",https://www.imdb.com/title/tt0991167/
Ji zhan,2013,Isn't Available,122 min," Action, Drama, Sport "," Fai, once a world champion in boxing, escapes to Macau from the loan sharks and unexpectedly encounters Qi, a young chap who is determined to win a boxing match. Fai becomes Qi's mentor and... See full summary » ",https://www.imdb.com/title/tt3003668/
Ânsia de Vencer,1986,Isn't Available,95 min," Drama, Sport "," In one final attempt to achieve victory, an aging professional runner is training vigorously for a very tough marathon race.",https://www.imdb.com/title/tt0091677/
Float Like a Butterfly,2018,PG,104 min," Drama, History, Sport "," From the producers of Once and Sing Street, Float Like a Butterfly is a powerful and timely story of a girl's fight for freedom and belonging. In a gender-reversal of classic film Billy ... See full summary » ",https://www.imdb.com/title/tt7636672/
Os Garotos do Break,1985,Isn't Available,91 min," Comedy, Sport "," A gang of boys under the Brooklyn Bridge are united by their common interest in break dancing. Some work as pizza delivery boys, hence they call themselves the Delivery Boys. They form a ... See full summary » ",https://www.imdb.com/title/tt0087134/
108 Stitches,2014,R,118 min," Comedy, Romance, Sport "," With the longest losing streak in baseball history and a university determined to disband them, a team of misfits have one afternoon to fill their stadium, sign the top recruit on the planet, and send their coach out with a bang.",https://www.imdb.com/title/tt3073898/
Um Treinador Destreinado,1979,Isn't Available,107 min," Comedy, Drama, Family ", An unqualified teacher finds himself saddled with coaching duties after a small group of high school seniors form a wrestling team in a last ditch effort to end a 9-year losing streak against a rival school.,https://www.imdb.com/title/tt0078358/
Modder en bloed,2016,Isn't Available,136 min," Drama, History, Sport "," Set during the Anglo Boer War, prisoners of war take a stand against their captors",https://www.imdb.com/title/tt4700248/
